title,authors,description,category,averageRating,ratingsCount,thumbnail
"Homer's Iliad, Books XX., XXI. and XXII., with Engl. Notes and a Literal Translation",Homerus,"This work has been selected by scholars as being culturally important and is part of the knowledge base of civilization as we know it. This work is in the public domain in the United States of America, and possibly other nations. Within the United States, you may freely copy and distribute this work, as no entity (individual or corporate) has a copyright on the body of the work. Scholars believe, and we concur, that this work is important enough to be preserved, reproduced, and made generally available to the public. To ensure a quality reading experience, this work has been proofread and republished using a format that seamlessly blends the original graphical elements with text in an easy-to-read typeface. We appreciate your support of the preservation process, and thank you for being an important part of keeping this knowledge alive and relevant.",,,,http://books.google.com/books/content?id=WoeivQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Fanshen,"William Hinton, Fred Magdoff","More than forty years after its initial publication, William Hinton’s Fanshen continues to be the essential volume for those fascinated with China’s revolutionary process of rural reform and social change. A pioneering work, Fanshan is a marvelous and revealing look into life in the Chinese countryside, where tradition and modernity have had both a complimentary and caustic relationship in the years since the Chinese Communist Party first came to power. It is a rare, concrete record of social struggle and transformation, as witnessed by a participant. Fanshen continues to offer profound insight into the lives of peasants and China’s complex social processes. Rediscover this classic volume, which includes a new preface by Fred Magdoff.",Business & Economics,,,http://books.google.com/books/content?id=VcRxEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Making of the Roman Army,L. J. F. Keppie,,History,,,http://books.google.com/books/content?id=HnLhAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
The White Woman's Other Burden,Kumari Jayawardena,"First Published in 1995. Routledge is an imprint of Taylor & Francis, an informa company.",Biography & Autobiography,,,http://books.google.com/books/content?id=hYSakXJIxOMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Ancient Egyptian Religion,Henri Frankfort,"Fascinating study finds underlying unity in Egyptian religions--the concept of the changeless. Relation of religion to Egyptian society, government, art, more. 32 halftones.",History,,,http://books.google.com/books/content?id=uaPXAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Histories,Herodotus Herodotus,"Excerpt from Histories: Books VII to IX III. Darius had as yet reached no decision, when at this juncture there arrived at Susa Demaratus, son of Ariston. About the Publisher Forgotten Books publishes hundreds of thousands of rare and classic books. Find more at www.forgottenbooks.com This book is a reproduction of an important historical work. Forgotten Books uses state-of-the-art technology to digitally reconstruct the work, preserving the original format whilst repairing imperfections present in the aged copy. In rare cases, an imperfection in the original, such as a blemish or missing page, may be replicated in our edition. We do, however, repair the vast majority of imperfections successfully; any imperfections that remain are intentionally left to preserve the state of such historical works.",History,,,http://books.google.com/books/content?id=1NWDswEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Assassins,Bernard Lewis,"From a master historian, the definitive account of history's first terrorists An offshoot of the Ismaili Shi'ite sect of Islam, the Assassins were the first group to make systematic use of murder as a political weapon. Established in Iran and Syria in the eleventh and twelfth centuries, they aimed to overthrow the existing Sunni order in Islam and replace it with their own. They terrorized their foes with a series of dramatic murders of Islamic leaders, as well as of some of the Crusaders, who brought their name and fame back to Europe. Professor Lewis traces the history of this radical group, studying its teachings and its influence on Muslim thought. Particularly insightful in light of the rise of the terrorist attacks in the U.S. and in Israel, this account of the Assassins -- whose name is now synonymous with politically motivated murderers -- places recent events in historical perspective and sheds new light on the fanatic mind.",History,,,http://books.google.com/books/content?id=sRVmL_h_PcsC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Great Soviet Encyclopedia,"Jean Paradise, Aleksandr M. Prochorov",,,,,
The Invasion of Europe by the Barbarians,J. B. Bury,"THE present series of lectures is designed to give a broad and general view of the long sequence of the migratory movements of the northern barbarians which began in the third and fourth centuries A. D. and cannot be said to have terminated till the ninth. This long process shaped Europe into its present form, and it must be grasped in its broad outlines in order to understand the framework of modern Europe. There are two ways in which the subject may be treated, two points of view from which the sequence of changes which broke up the Roman Empire may be regarded. We may look at the process, in the earliest and most important stage, from the point of view of the Empire which was being dismembered or from that of the barbarians who were dismembering it. We may stand in Rome and watch the strangers sweeping over her provinces; or we may stand east of the Rhine and north of the Danube, amid the forests of Germany, and follow the fortunes of the men who issued thence, winning new habitations and entering on a new life. Both methods have been followed by modern writers. Gibbon and many others have told the story from the side of the Roman Empire, but all the principal barbarian peoples - not only those who founded permanent states, but even those who formed only transient kingdoms - have had each its special historian. One naturally falls into the habit of contemplating these events from the Roman side because the early part of the story has come down to us in records which were written from the Roman side. We must, however, try to see things from both points of view...",History,,,http://books.google.com/books/content?id=2Ld4DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Essays in Radical Empiricism,William James,"This vintage book comprises Henry James's seminal philosophical treatise, 'Essays in Radical Empiricism'. The ideas outlined within this text underpin James's work, and are key to understanding the mind of this most important of philosophical thinkers. This volume will be of considerable utility to the student of philosophy and those with a keen interest in this influential work. It makes for a veritable must-have for collectors of seminal philosophical works. The chapters of this book include: 'Does ‘consciousness’ Exist?', 'A World Of Pure Experience', 'The Thing And Its Relations', 'How Two Minds Can Know One Thing', 'The Place Of Affectional Facts In A World Of Pure Experience', 'The Experience Of Activity', etcetera. William James (1842 – 1910) was an American philosopher, psychologist, and trained physician. He is hailed as one of the most influential philosophers the United States has ever produced. We are republishing this book now complete with a specially commissioned new biography of the author.",History,,,http://books.google.com/books/content?id=6NN8CgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
From Splendor to Revolution,Julia P. Gelardi,"“A richly detailed portrait of four women, whom marriage and blood put at the center of European history.” —Richmond Times-Dispatch This sweeping saga recreates the extraordinary opulence and violence of Tsarist Russia as the shadow of revolution fell over the land and destroyed a way of life for these Imperial women. From the early 1850s until the late 1920s Russia underwent a massive transformation, taking it from days of grandeur under the tsars to the chaos of revolution and the beginnings of the Soviet Union. At the center of all this tumult were four Romanov women. Marie Alexandrovna, Tsar Alexander II’s pampered daughter, astonished her mother-in-law, Queen Victoria, with her strength of character. Thrust into the role of queen at sixteen, Olga Constantinovna’s altruistic streak benefited Greeks and Russians alike. Charming and vivacious, Marie Feodorovna, the mother of the ill-fated Tsar Nicholas II, excelled in her role as empress. Formidable and ambitious, Marie Pavlovna emerged as a rival to Tsarina Alexandra, Nicholas II’s embattled consort. From Splendor to Revolution presents the unforgettable political and personal dramas of these extraordinary women. What began for them as a time of splendor ended after World War I, with a Russia destroyed by revolution. “Relating the drama and tragedy of royal life, Gelardi ably weaves in the extended family ties that connected most European rulers, including Queen Victoria.” —Publishers Weekly (starred review) “Simple, straightforward, and engaging. Gelardi is proof that history written from the female perspective can be all business.” —The Roanoke Times",History,,,http://books.google.com/books/content?id=YIhU7RWPFBYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Who Killed Homer?,"Victor Davis Hanson, John Heath","With advice and informative readings of the great Greek texts, this title shows how we might save classics and the Greeks. It is suitable for those who agree that knowledge of classics acquaints us with the beauty and perils of our own culture.",History,,,http://books.google.com/books/content?id=ty3lHncLD48C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
How To Tell a Story and Others,Mark Twain,"How to Tell a Story and Other Essays is a useful book even if it isn't the funniest thing ever - and the title essay really is chock-full of good, solid advice for budding writers. In the literary line, ""In Defence of Harriet Shelley"" is a lengthy demolition of Prof. Edward Dowden's 1886 attempt at a biography of English poet Percy Bysshe Shelley. Dowden laid all the blame for Shelley's contemptible excesses on Shelley's first wife, Harriet (a child bride aged 16). ""Fenimore Cooper's Literary Offences"" is a rich chortle made richer by the fact that its seemingly hyperbolic charges are all perfectly true. Other selections include ""Traveling with a Reformer,"" ""Private History of the 'Jumping Frog' Story,"" ""Mental Telegraphy Again,"" ""What Paul Bourget Thinks of Us,"" and ""A Little Note to M. Paul Bourget."" Today's readers probably know less about Paul Bourget than they know of the poet Shelley, and care not at all about 19th-century authorial cat fights.",Fiction,,,http://books.google.com/books/content?id=pJ8oQhsJe8MC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Protestant ethic and the spirit of capitalism,Max Weber,"Excerpt from The Protestant Ethic and the Spirit of Capitalism Max Weber's essay, Die protestantische Ethik und der Geist des Kapitalismus, which is here translated, was first published in the Archiv fur Sozialwissenschaft und Sozialpolitik, Volumes XX and XXI, for 1904-5. It was reprinted in 1920 as the first study in the ambitious series Gesammelte Aufsatze zur Religionssoziologie, which was left unfinished by Weber's untimely death in that same year. For the new printing he made considerable changes, and appended both new material and replies to criticism in footnotes. The translation has, however, been made directly from this last edition. Though the volume of footnotes is excessively large, so as to form a serious detriment to the reader's enjoyment, it has not seemed advisable either to omit any of them or to attempt to incorporate them into the text. As it stands it shows most plainly how the problem has grown in Weber's own mind, and it would be a pity to destroy that for the sake of artistic perfection. A careful perusal of the notes is, however, especially recommended to the reader, since a great deal of important material is contained in them. The fact that they are printed separately from the main text should not be allowed to hinder their use. The translation is, as far as is possible, faithful to the text, rather than attempting to achieve any more than ordinary, clear English style. Nothing has been altered, and only a few comments to clarify obscure points and to refer the reader to related parts of Weber's work have been added. About the Publisher Forgotten Books publishes hundreds of thousands of rare and classic books. Find more at www.forgottenbooks.com This book is a reproduction of an important historical work. Forgotten Books uses state-of-the-art technology to digitally reconstruct the work, preserving the original format whilst repairing imperfections present in the aged copy. In rare cases, an imperfection in the original, such as a blemish or missing page, may be replicated in our edition. We do, however, repair the vast majority of imperfections successfully; any imperfections that remain are intentionally left to preserve the state of such historical works.""",Religion,,,http://books.google.com/books/content?id=Ki0MswEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Wilhelm Meister's Apprenticeship and Travels,Johann Wolfgang Von Goethe,"This work has been selected by scholars as being culturally important, and is part of the knowledge base of civilization as we know it. This work was reproduced from the original artifact, and remains as true to the original work as possible. Therefore, you will see the original copyright references, library stamps (as most of these works have been housed in our most important libraries around the world), and other notations in the work.This work is in the public domain in the United States of America, and possibly other nations. Within the United States, you may freely copy and distribute this work, as no entity (individual or corporate) has a copyright on the body of the work.As a reproduction of a historical artifact, this work may contain missing or blurred pages, poor pictures, errant marks, etc. Scholars believe, and we concur, that this work is important enough to be preserved, reproduced, and made generally available to the public. We appreciate your support of the preservation process, and thank you for being an important part of keeping this knowledge alive and relevant.",,,,http://books.google.com/books/content?id=2wwfjwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Rainbow Valley,Lucy Maud Montgomery,,Fiction,,,http://books.google.com/books/content?id=vVUm_V_Qxs8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
"The Invention of Pornography, 1500–1800","Lynn Hunt, Lynn Avery Hunt","A collection of ten essays tracing the history and various uses of pornography in early modern Europe.In America today the intense and controversial debate over the censorship of pornography continues to call into question the values of a modern, democratic culture. This ground-breaking collection of ten critical essays traces the history and various uses of pornography in early modern Europe, offering the historical perspective crucial to understanding current issues of artistic censorship.The essays, by historians and literary theorists, examine how pornography emerged between 1500 and 1800 as a literary practice and a category of knowledge intimately linked to the formative moments of Western modernity and the democratization of culture. They reveal that the first modern writers and engravers of pornography were part of the demimonde of heretics, freethinkers, and libertines who constituted the dark underside of the Renaissance, the Scientific Revolution, the Enlightenment, and the French Revolution. From the beginning, early modern European pornography used the shock of sex to test the boundaries and regulation of decent and obscene behavior and expression in the public and private spheres, criticizing and even subverting religious and political authorities as well social and sexual norms.ContentsIntroduction, Lynn Hunt • Humanism, Politics, and Pornography in Renaissance Italy, Paula Findlen • The Politics of Pornography: L'Ecole des filles, Joan Dejea • Sometimes a Sceptre is only a Sceptre: Pornography and Politics in Restoration England, Rachel Weil • The Materialist World of Pornography, Margaret C. Jacob • Truth and the Obscene Word in Eighteenth-Century French Pornography, Lucienne Frappier-Mazur • The Pornographic Whore: Prostitution in French Pornography from Margot to Juliette, Kathryn Norberg • Erotic Fantasy and the Libertine Dispensation in Eighteenth-Century England, Randolph Trumbach • Politics and Pornography in the Seventeenth- and Eighteenth-Century Dutch Republic,Wijnand W. Mijnhardt • Pornography and the French Revolution, Lynn Hunt",History,,,http://books.google.com/books/content?id=x8ojDQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Fishmeal Revolution,Kristin A. Wintersteen,"Off the Pacific coast of South America, nutrients mingle with cool waters rising from the ocean’s depths, creating one of the world’s most productive marine ecosystems: the Humboldt Current. When the region’s teeming populations of fish were converted into a key ingredient in animal feed—fishmeal—it fueled the revolution in chicken, hog, and fish farming that swept the United States and northern Europe after World War II. The Fishmeal Revolution explores industrialization along the Peru-Chile coast as fishmeal producers pulverized and exported unprecedented volumes of marine proteins to satisfy the growing taste for meat among affluent consumers in the Global North. A relentless drive to maximize profits from the sea occurred at the same time that Peru and Chile grappled with the challenge of environmental uncertainty and its potentially devastating impact. In this exciting new book, Kristin A. Wintersteen offers an important history and critique of the science and policy that shaped the global food industry.",History,,,http://books.google.com/books/content?id=oskiEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Early Greek Philosophy,Various,"The works collected in this volume form the true foundation of Western philosophy—the base upon which Plato and Aristotle and their successors would eventually build. Yet the importance of the Pre-Socratics thinkers lies less in their influence—great though that was—than in their astonishing intellectual ambition and imaginative reach. Zeno's dizzying 'proofs' that motion is impossible; the extraordinary atomic theories of Democritus; the haunting and enigmatic epigrams of Heraclitus; and the maxims of Alcmaeon: fragmentary as they often are, the thoughts of these philosophers seem strikingly modern in their concern to forge a truly scientific vocabulary and way of reasoning. For more than seventy years, Penguin has been the leading publisher of classic literature in the English-speaking world. With more than 1,700 titles, Penguin Classics represents a global bookshelf of the best works throughout history and across genres and disciplines. Readers trust the series to provide authoritative texts enhanced by introductions and notes by distinguished scholars and contemporary authors, as well as up-to-date translations by award-winning translators.",Philosophy,,,http://books.google.com/books/content?id=qYOMEAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
The American Discovery of Europe,Jack D. Forbes,"The American Discovery of Europe investigates the voyages of America's Native peoples to the European continent before Columbus's 1492 arrival in the ""New World."" The product of over twenty years of exhaustive research in libraries throughout Europe and the United States, the book paints a clear picture of the diverse and complex societies that constituted the Americas before 1492 and reveals the surprising Native American involvements in maritime trade and exploration. Starting with an encounter by Columbus himself with mysterious people who had apparently been carried across the Atlantic on favorable currents, Jack D. Forbes proceeds to explore the seagoing expertise of early Americans, theories of ancient migrations, the evidence for human origins in the Americas, and other early visitors coming from Europe to America, including the Norse. The provocative, extensively documented, and heartfelt conclusions of The American Discovery of Europe present an open challenge to received historical wisdom.",History,,,http://books.google.com/books/content?id=09tmdIA6cDoC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Citizens,Simon Schama,"In this New York Times bestseller, award-winning author Simon Schama presents an ebullient country, vital and inventive, infatuated with novelty and technology--a strikingly fresh view of Louis XVI's France. One of the great landmarks of modern history publishing, Citizens: A Chronicle of the French Revolution is the most authoritative social, cultural, and narrative history of the French Revolution ever produced.",History,,,http://books.google.com/books/content?id=JquOEAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Art of War Annotated,Sun Tzu,"The Art of War is a Chinese military treatise that was written during the 6th century BC by Sun Tzu. Composed of 13 chapters, each of which is devoted to one aspect of warfare, it has long been praised as the definitive work on military strategies and tactics of its time.The Art of War is one of the oldest books on military strategy in the world. It is the first and one of the most successful works on strategy and has had a huge influence on Eastern and Western military thinking, business tactics, and beyond. Sun Tzu was the first to recognize the importance of positioning in strategy and that position is affected both by objective conditions in the physical environment and the subjective opinions of competitive actors in that environment. He taught that strategy was not planning in the sense of working through a to-do list, but rather that it requires quick and appropriate responses to changing conditions. Planning works in a controlled environment, but in a competitive environment,",,,,http://books.google.com/books/content?id=aeUOzgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Stalin's Library,Geoffrey Roberts,"A compelling intellectual biography of Stalin told through his personal library ""[A] fascinating new study.""--Michael O'Donnell, Wall Street Journal In this engaging life of the twentieth century's most self-consciously learned dictator, Geoffrey Roberts explores the books Stalin read, how he read them, and what they taught him. Stalin firmly believed in the transformative potential of words, and his voracious appetite for reading guided him throughout his years. A biography as well as an intellectual portrait, this book explores all aspects of Stalin's tumultuous life and politics. Stalin, an avid reader from an early age, amassed a surprisingly diverse personal collection of thousands of books, many of which he marked and annotated, revealing his intimate thoughts, feelings, and beliefs. Based on his wide-ranging research in Russian archives, Roberts tells the story of the creation, fragmentation, and resurrection of Stalin's personal library. As a true believer in communist ideology, Stalin was a fanatical idealist who hated his enemies--the bourgeoisie, kulaks, capitalists, imperialists, reactionaries, counter-revolutionaries, traitors--but detested their ideas even more.",History,,,http://books.google.com/books/content?id=yjNZEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Sunset Park,Paul Auster,"Auster's novel of love and forgiveness from the author of contemporary classic The New York Trilogy: 'a literary voice for the ages' ( Guardian) S unset Park is set in the sprawling flatlands of Florida, where twenty-eight-year-old Miles is photographing the last lingering traces of families who have abandoned their houses due to debt or foreclosure. Miles is haunted by guilt for having inadvertently caused the death of his step-brother, a situation that caused him to flee his father and step-mother in New York seven years ago. What keeps him in Florida is his relationship with a teenage high-school girl, Pilar, but when her family threatens to expose their relationship, Miles decides to protect Pilar by going back to Brooklyn, where he settles in a squat to prepare himself to face the inevitable confrontation with his father - a confrontation he has been avoiding for years. Set against the backdrop of the devastating global recession, and pulsing with the energy of Auster's previous novel Invisible, Sunset Park is as mythic as it is contemporary, as in love with baseball as it is with literature. It is above all, a story about love and forgiveness - not only among men and women, but also between fathers and sons.",Fiction,4,1,http://books.google.com/books/content?id=WK_mPzxMFfoC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Les Misérables by Victor Hugo,Victor Hugo,One of the greatest books ever written. A splendid masterpiece...,,,,http://books.google.com/books/content?id=8cwNzgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Letters from Russia,Marquis de Custine,"The Marquis de Custine's unique perspective on a vast, fascinating country in the grip of oppressive tyranny In 1839, encouraged by his friend Balzac, Custine set out to explore Russia. His impressions turned into what is perhaps the greatest and most influential of all books about Russia under the Tsars. Rich in anecdotes as much about the court of Tsar Nicholas as the streets of St Petersburg, Custine is as brilliant writing about the Kremlin as he is about the great northern landscapes. An immediate bestseller on publication, Custine's book is also a central book for any discussion of 19th century history, as - like de Tocqueville's Democracy in America - it dramatizes far broader questions about the nature of government and society.",Literary Collections,,,http://books.google.com/books/content?id=1bLrAgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Hitler's Gift,"Jean Medawar, David Pyke","Between 1901 and 1932, Germany won a third of all the Nobel Prizes for science. With Hitler's rise to power and the introduction of racial laws, starting with the exclusion of all Jews from state institutions, Jewish professors were forced to leave their jobs, which closed the door on Germany’s fifty-year record of world supremacy in science. Of these more than 1,500 refugees, fifteen went on to win Nobel Prizes, several co-discovered penicillin—and more of them became the driving force behind the atomic bomb project. In this revelatory book, Jean Medawar and David Pyke tell countless gripping individual stories of emigration, rescue, and escape, including those of Albert Einstein, Fritz Haber, Leo Szilard, and many others. Much of this material was collected through interviews with more than twenty of the surviving refugee scholars, so as to document for history the steps taken after Hitler’s policy was enacted. As one refugee scholar wrote, “Far from destroying the spirit of German scholarship, the Nazis had spread it all over the world. Only Germany was to be the loser.” Hitler’s Gift is the story of the men who were forced from their homeland and went on to revolutionize many of the scientific practices that we rely on today. Experience firsthand the stories of these geniuses, and learn not only how their deportation affected them, but how it bettered the world that we live in today.",History,,,http://books.google.com/books/content?id=_hN1EAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The World's Religions,"Peter Clarke, Friedhelm Hardy, Leslie Houlden, Stewart Sutherland","* Gives an account of the history, the theological basis, the practice and the current state of the study of religion and religions throughout the world * Combines a clear and non-technical style of presentation with a structure and range of contributions which reflect the richness and complexity of religion itself, of the religions of the world and the study of religions * Comprehensive index, bibliographies and suggestions for further reading `Intriguing philosophical questions are raised about the nature of religion and the qualities needed for studying it.' - Times Higher Education Supplement `Excellent book ... remarkably successful, impressive as much for the sheer scale of the undertaking as for its consistent standard of analysis. It is a fine achievement which will serve both as a very suitable textbook for students and a reliable guide to the state of scholarship in the History and Study of Religions.' - Heythrop Journal",Reference,,,http://books.google.com/books/content?id=HAg3AgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
God and Reason in the Middle Ages,Edward Grant,"Between 1100 and 1600, the emphasis on reason in the learning and intellectual life of Western Europe became more pervasive and widespread than ever before in the history of human civilization. Of crucial significance was the invention of the university around 1200, within which reason was institutionalized and where it became a deeply embedded, permanent feature of Western thought and culture. It is therefore appropriate to speak of an Age of Reason in the Middle Ages, and to view it as a forerunner and herald of the Age of Reason that was to come in the seventeenth century. The object of this study is twofold: to describe how reason was manifested in the curriculum of medieval universities, especially in the subjects of logic, natural philosophy and theology; and to explain how the Middle Ages acquired an undeserved reputation as an age of superstition, barbarism, and unreason.",Education,3,2,http://books.google.com/books/content?id=UB0Tao4oikEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Faust,Johann Wolfgang von Goethe,"This is a reproduction of the original artefact. Generally these books are created from careful scans of the original. This allows us to preserve the book accurately and present it in the way the author intended. Since the original versions are generally quite old, there may occasionally be certain imperfections within these reproductions. We're happy to make these classics available again for future generations to enjoy!",,,,http://books.google.com/books/content?id=hCCpzQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Greatest Comeback: From Genocide To Football Glory,David Bolchover,"Shortlisted for the William Hill Sports Book of the Year Award 2017. Longlisted for the Coutts Football Writers Association Award 2018. Before Pep Guardiola and before José Mourinho, there was Béla Guttmann: the first superstar football coach, and the man who paved the way for the celebrated coaches of the modern age. More extraordinarily still, Guttmann was a Holocaust survivor. Having narrowly dodged death by hiding for months in an attic near Budapest as thousands of fellow Jews in the neighbourhood were dragged off to be murdered, Guttmann later escaped from a slave labour camp. He was one of the lucky ones. His father, sister and wider family perished at the hands of the Nazis. But by 1961, as coach of Benfica, he had lifted one of football's greatest prizes: the European Cup a feat he repeated the following year. Rising from the death pits of Europe to become its champion in just over sixteen years, Guttmann performed the single greatest comeback in football history. This remarkable story spans two visions of twentieth-century Europe: a continent ruptured by barbarism and genocide, yet lit up by exhilarating encounters in magnificent cities, where great players would strive to win football s holy grail. With dark forces rising once again, the story of Béla Guttmann s life asks the question: which vision of Europe will triumph in our times?",History,,,http://books.google.com/books/content?id=mdKlDgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Euthydemus,Plato,"The Euthydemus, though apt to be regarded by us only as an elaborate jest, has also a very serious purpose. It may fairly claim to be the oldest treatise on logic; for that science originates in the misunderstandings which necessarily accompany the first efforts of speculation. Translated by B. Jowett. Notice: This Book is published by Historical Books Limited (www.publicdomain.org.uk) as a Public Domain Book, if you have any inquiries, requests or need any help you can just send an email to publications@publicdomain.org.uk This book is found as a public domain and free book based on various online catalogs, if you think there are any problems regard copyright issues please contact us immediately via DMCA@publicdomain.org.uk",,,,http://books.google.com/books/content?id=mHCMDAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Richard III,Josephine Wilkinson,A major new biography of the young Richard III.,History,,,http://books.google.com/books/content?id=J4SoAwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The First World War,Holger H. Herwig,"The Great War toppled four empires, cost the world 24 million dead, and sowed the seeds of another worldwide conflict 20 years later. This is the only book in the English language to offer comprehensive coverage of how Germany and Austria-Hungary, two of the key belligerents, conducted the war and what defeat meant to them. This new edition has been thoroughly updated throughout, including new developments in the historiography and, in particular, addressing new work on the cultural history of the war. This edition also includes: - New material on the domestic front, covering Austria-Hungary's internal political frictions and ethnic fissures - More on Austria-Hungary and Germany's position within the wider geopolitical framework - Increased coverage of the Eastern front The First World War: Germany and Austria-Hungary, 1914-1918 offers an authoritative and well-researched survey of the role of the Central powers that will be an invaluable text for all those studying the First World War and the development of modern warfare.",History,,,http://books.google.com/books/content?id=quenAgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Politics of Aristotle,Aristotle,"This work has been selected by scholars as being culturally important, and is part of the knowledge base of civilization as we know it. This work was reproduced from the original artifact, and remains as true to the original work as possible. Therefore, you will see the original copyright references, library stamps (as most of these works have been housed in our most important libraries around the world), and other notations in the work.This work is in the public domain in the United States of America, and possibly other nations. Within the United States, you may freely copy and distribute this work, as no entity (individual or corporate) has a copyright on the body of the work.As a reproduction of a historical artifact, this work may contain missing or blurred pages, poor pictures, errant marks, etc. Scholars believe, and we concur, that this work is important enough to be preserved, reproduced, and made generally available to the public. We appreciate your support of the preservation process, and thank you for being an important part of keeping this knowledge alive and relevant.",,,,http://books.google.com/books/content?id=qyVujwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
The American West and the Nazi East,C. Kakel,"By employing new 'optics' and a comparative approach, this book helps us recognize the unexpected and unsettling connections between America's 'western' empire and Nazi Germany's 'eastern' empire, linking histories previously thought of as totally unrelated and leading readers towards a deep revisioning of the 'American West' and the 'Nazi East'.",History,,,http://books.google.com/books/content?id=7Nt8DAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Much Adoe about Nothing,"William Shakespeare, Charles Praetorius","This work has been selected by scholars as being culturally important, and is part of the knowledge base of civilization as we know it. This work was reproduced from the original artifact, and remains as true to the original work as possible. Therefore, you will see the original copyright references, library stamps (as most of these works have been housed in our most important libraries around the world), and other notations in the work.This work is in the public domain in the United States of America, and possibly other nations. Within the United States, you may freely copy and distribute this work, as no entity (individual or corporate) has a copyright on the body of the work.As a reproduction of a historical artifact, this work may contain missing or blurred pages, poor pictures, errant marks, etc. Scholars believe, and we concur, that this work is important enough to be preserved, reproduced, and made generally available to the public. We appreciate your support of the preservation process, and thank you for being an important part of keeping this knowledge alive and relevant.",,,,http://books.google.com/books/content?id=qCdrjwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Democratization and Identity,Susan J. Henders,"The notable contributors to Democratization and Identity introduce the experiences of East and Southeast Asia into the study of democratization in ethnically (including religiously) diverse societies. This collection suggests that the risk of ethnicized conflict, exclusion, or hierarchy during democratization depends in large part on the nature of the ethnic identities and relations constituted during authoritarian rule. This volume's theoretical breakthroughs and its country case studies shed light on the prospects for ethnically inclusive and non-hierarchical democratization across East and Southeast Asia and beyond.",History,,,http://books.google.com/books/content?id=CCHkt7Sm8CQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
DOLLS HOUSE,Henrik 1828-1906 Ibsen,"This work has been selected by scholars as being culturally important, and is part of the knowledge base of civilization as we know it. This work was reproduced from the original artifact, and remains as true to the original work as possible. Therefore, you will see the original copyright references, library stamps (as most of these works have been housed in our most important libraries around the world), and other notations in the work. This work is in the public domain in the United States of America, and possibly other nations. Within the United States, you may freely copy and distribute this work, as no entity (individual or corporate) has a copyright on the body of the work. As a reproduction of a historical artifact, this work may contain missing or blurred pages, poor pictures, errant marks, etc. Scholars believe, and we concur, that this work is important enough to be preserved, reproduced, and made generally available to the public. We appreciate your support of the preservation process, and thank you for being an important part of keeping this knowledge alive and relevant.",History,,,http://books.google.com/books/content?id=ul1RvgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Interpretative Archaeology,Christopher Tilley,"This fascinating volume integrates recent developments in anthropological and sociological theory with a series of detailed studies of prehistoric material culture. The authors explore the manner in which semiotic, hermeneutic, Marxist, and post-structuralist approaches radically alter our understanding of the past, and provide a series of innovative studies of key areas of interest to archaeologists and anthropologists.",History,,,http://books.google.com/books/content?id=QB1mAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
